rank,player,season,games_played,tgt,incompletion_rate,int_rate,target_rate,yds_per_tgt,avg_rat,pca_score
56,Coby Bryant,2022,16,72,0.25,0.0,0.11338582677165354,9.125,99.44375,-3.5620194012672557
57,Kyler Gordon,2022,14,82,0.1951219512195122,0.036585365853658534,0.13553719008264462,9.317073170731707,95.16428571428571,-3.7000752143744804
1,L'Jarius Sneed,2023,16,100,0.47,0.02,0.07923930269413629,4.78,62.95625,3.0386222432109666
2,Jaylon Johnson,2023,14,57,0.38596491228070173,0.07017543859649122,0.07054455445544554,4.842105263157895,67.2,2.8934514353273344
3,Martin Emerson,2023,15,79,0.4810126582278481,0.05063291139240506,0.08738938053097345,6.3164556962025316,62.28,2.749327770439765
4,Michael Carter II,2023,15,63,0.47619047619047616,0.0,0.09388971684053651,4.777777777777778,69.36666666666666,2.3534712347145654
5,Sauce Gardner,2023,15,52,0.4423076923076923,0.0,0.049476688867745006,5.596153846153846,71.18571428571428,2.025906669303156
6,Darious Williams,2023,17,99,0.40404040404040403,0.04040404040404041,0.09565217391304348,6.303030303030303,65.48823529411764,1.8702015366595903
7,DaRon Bland,2023,16,74,0.3108108108108108,0.10810810810810811,0.07240704500978473,7.45945945945946,62.925,1.8548989453299802
8,Riq Woolen,2023,15,71,0.39436619718309857,0.028169014084507043,0.07561235356762513,5.408450704225352,77.92666666666668,1.5911557705872963
9,Joey Porter Jr.,2023,16,62,0.5,0.016129032258064516,0.07242990654205607,7.241935483870968,71.7625,1.5602686178697498
10,Mike Hilton,2023,17,68,0.3235294117647059,0.029411764705882353,0.0774487471526196,5.676470588235294,70.88235294117646,1.3650010202293197
11,Ahkello Witherspoon,2023,17,107,0.4953271028037383,0.028037383177570093,0.09596412556053811,7.037383177570093,76.8529411764706,1.295059326957385
12,Paulson Adebo,2023,15,100,0.41,0.04,0.1053740779768177,6.74,72.9,1.177368840754244
13,Charvarius Ward,2023,16,97,0.38144329896907214,0.05154639175257732,0.08449477351916376,6.907216494845361,73.65625,1.1482221430486832
14,Deommodore Lenoir,2023,16,92,0.358695652173913,0.03260869565217391,0.07679465776293823,6.9021739130434785,68.325,1.140119025515341
15,Devon Witherspoon,2023,13,79,0.4050632911392405,0.012658227848101266,0.08946772366930918,5.227848101265823,85.05384615384615,1.0809332110934888
16,D.J. Reed,2023,13,72,0.4444444444444444,0.0,0.07250755287009064,6.125,81.24615384615385,0.9634182681373918
17,Greg Newsome II,2023,14,67,0.40298507462686567,0.029850746268656716,0.08385481852315395,6.7164179104477615,79.12857142857142,0.7942477179727366
18,Stephon Gilmore,2023,16,82,0.4024390243902439,0.024390243902439025,0.07750472589792061,6.719512195121951,79.15,0.7651791586745127
19,Jonathan Jones,2023,14,55,0.43636363636363634,0.0,0.07534246575342465,7.363636363636363,74.08571428571429,0.7311909784065094
20,Jaylon Jones,2023,13,62,0.43548387096774194,0.0,0.07878017789072427,5.709677419354839,87.97692307692309,0.7036280341721973
21,Rasul Douglas,2023,16,74,0.35135135135135137,0.06756756756756757,0.07115384615384615,6.648648648648648,85.65333333333334,0.637651962117561
22,Deonte Banks,2023,15,95,0.42105263157894735,0.021052631578947368,0.11255924170616113,6.378947368421053,81.68,0.6255829768645418
23,Patrick Peterson,2023,17,64,0.375,0.03125,0.055077452667814115,7.71875,78.21764705882353,0.45622290969949
24,Jourdan Lewis,2023,15,61,0.39344262295081966,0.01639344262295082,0.07881136950904392,6.475409836065574,83.62857142857142,0.45090773930175176
25,Levi Wallace,2023,15,73,0.4383561643835616,0.0273972602739726,0.09580052493438321,7.424657534246576,82.05333333333333,0.4362341101473346
